# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
22000000 2977.87 -2.13993 500.116 1.00007
22100000 2977.87 -1.92942 500.081 0.999029
22200000 2977.87 -2.01918 500.095 1.00043
22300000 2977.87 -2.09769 500.109 0.999146
22400000 2977.87 -1.12051 499.945 1.00155
22500000 2977.87 -2.24402 500.133 0.999554
22600000 2977.87 -1.94673 500.083 0.99921
22700000 2977.87 -2.14395 500.116 0.999341
22800000 2977.87 -1.69107 500.04 1.00093
22900000 2977.87 -1.61318 500.027 0.998978
23000000 2977.87 -1.14221 499.948 1.0001
23100000 2977.87 -1.57286 500.021 0.999319
23200000 2977.87 -2.19992 500.126 0.998996
23300000 2977.87 -1.38125 499.989 1.00087
23400000 2977.87 -2.51551 500.179 0.999307
23500000 2977.87 -1.68848 500.04 0.998818
23600000 2977.87 -1.77857 500.055 0.998786
23700000 2977.87 -1.70409 500.043 0.999385
23800000 2977.87 -1.11576 499.944 1.00062
23900000 2977.87 -1.82454 500.063 0.999054
24000000 2977.87 -1.10283 499.942 1.00026
24100000 2977.87 -1.67658 500.038 0.998953
24200000 2977.87 -1.83481 500.065 0.999355
24300000 2977.87 -1.57465 500.021 0.999052
24400000 2977.87 -2.11391 500.112 0.999211
24500000 2977.87 -1.89681 500.075 0.999002
24600000 2977.87 -1.55907 500.018 0.998928
24700000 2977.87 -2.09782 500.109 0.999143
24800000 2977.87 -1.92188 500.079 0.999138
24900000 2977.87 -1.83025 500.064 0.99991
25000000 2977.87 -0.807537 499.892 1.00094
25100000 2977.87 -1.86338 500.069 0.998813
25200000 2977.87 -1.37148 499.987 0.999516
25300000 2977.87 -2.15054 500.118 0.998804
25400000 2977.87 -1.77118 500.054 0.998978
25500000 2977.87 -1.74505 500.049 1.00089
25600000 2977.87 -2.28497 500.14 0.998713
25700000 2977.87 -2.23114 500.131 0.999775
25800000 2977.87 -2.24585 500.134 0.998965
25900000 2977.87 -0.972981 499.92 1.00078
26000000 2977.87 -1.90335 500.076 0.999285
26100000 2977.87 -1.96958 500.087 0.999297
26200000 2977.87 -1.90696 500.077 0.999259
26300000 2977.87 -1.66884 500.037 0.999075
26400000 2977.87 -1.29782 499.975 1.00128
26500000 2977.87 -2.14808 500.117 1.00012
26600000 2977.87 -1.07133 499.936 1.00127
26700000 2977.87 -2.22116 500.13 0.999937
26800000 2977.87 -1.88664 500.073 0.999466
26900000 2977.87 -2.29972 500.143 0.999713
27000000 2977.87 -2.54005 500.183 0.998794
27100000 2977.87 -1.59071 500.024 0.9997
27200000 2977.87 -1.92404 500.08 0.998804
27300000 2977.87 -2.01164 500.095 0.998667
27400000 2977.87 -1.8137 500.061 0.999845
27500000 2977.87 -1.60658 500.026 1.00011
27600000 2977.87 -1.83407 500.065 0.999247
27700000 2977.87 -1.68835 500.04 0.999532
27800000 2977.87 -1.51896 500.011 0.99914
27900000 2977.87 -1.87983 500.072 0.999473
28000000 2977.87 -1.64742 500.033 1.00084
28100000 2977.87 -1.7263 500.046 0.999792
28200000 2977.87 -2.01242 500.094 0.999359
28300000 2977.87 -1.83821 500.065 0.999612
28400000 2977.87 -1.63624 500.032 0.999506
28500000 2977.87 -2.35191 500.152 0.999842
28600000 2977.87 -1.23373 499.964 1.00224
28700000 2977.87 -2.08228 500.106 0.998561
28800000 2977.87 -1.86822 500.07 1.00002
28900000 2977.87 -1.79689 500.058 0.999279
29000000 2977.87 -1.2059 499.959 1.00003
29100000 2977.87 -1.79827 500.059 0.999378
29200000 2977.87 -2.15149 500.118 0.999053
29300000 2977.87 -1.37751 499.988 0.999232
29400000 2977.87 -1.26744 499.97 0.999289
29500000 2977.87 -1.73226 500.048 0.999471
29600000 2977.87 -1.92274 500.079 0.999725
29700000 2977.87 -1.96447 500.086 0.998723
29800000 2977.87 -1.6887 500.04 0.998838
29900000 2977.87 -2.11124 500.111 0.999732
30000000 2977.87 -1.89695 500.075 0.999094
30100000 2977.87 -1.91412 500.078 0.999855
30200000 2977.87 -2.10404 500.11 0.999199
30300000 2977.87 -2.05337 500.101 1.00017
